"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.128772667E0,-2.769241333E-2,1.541793823E-2,9.830058289E0,9.830109386E0
2.138791667E0,-2.993774414E-2,2.170486450E-2,9.833800507E0,9.833870030E0
2.148810667E0,-3.622467041E-2,1.392105103E-2,9.831704865E0,9.831781454E0
2.158829667E0,-2.754272461E-2,2.305206299E-2,9.826914825E0,9.826980461E0
2.168848667E0,-2.305206299E-2,1.796264648E-2,9.827962646E0,9.828006097E0
2.178867667E0,-2.020797729E-2,1.856140137E-2,9.828711090E0,9.828749390E0
2.188886667E0,-2.035766602E-2,1.601669312E-2,9.849817200E0,9.849851260E0
2.198905667E0,-2.619552612E-2,2.140548706E-2,9.838740234E0,9.838798392E0
2.208924667E0,-3.023712158E-2,1.781295776E-2,9.836644592E0,9.836707194E0
2.218943667E0,-2.260299683E-2,1.571731567E-2,9.829160156E0,9.829198711E0
2.228962667E0,-3.173400879E-2,2.260299683E-2,9.832752686E0,9.832829873E0
2.238981667E0,-2.589614868E-2,2.035766602E-2,9.833650818E0,9.833705988E0
2.249000667E0,-3.278182983E-2,1.751358032E-2,9.835447083E0,9.835517307E0
2.259019667E0,-3.038681030E-2,1.586700439E-2,9.833201752E0,9.833261504E0
2.269038667E0,-2.275268555E-2,1.916015625E-2,9.820927277E0,9.820972323E0
2.279057667E0,-3.323089600E-2,2.409988403E-2,9.834848328E0,9.834933997E0
2.289076667E0,-1.916015625E-2,1.856140137E-2,9.828860779E0,9.828896980E0
2.299098625E0,-2.739303589E-2,1.212478638E-2,9.842781830E0,9.842827416E0
2.309117625E0,-2.245330811E-2,1.721420288E-2,9.834099884E0,9.834140583E0
2.319136625E0,-2.724334717E-2,1.571731567E-2,9.836345215E0,9.836395499E0
2.329155625E0,-3.038681030E-2,2.574645996E-2,9.840686188E0,9.840766783E0
2.339174625E0,-2.589614868E-2,2.005828857E-2,9.833950195E0,9.834004748E0
2.349193625E0,-2.380050659E-2,1.781295776E-2,9.836045837E0,9.836090762E0
2.359212625E0,-2.888992310E-2,1.811233521E-2,9.835896149E0,9.835955253E0
2.369231625E0,-2.844085693E-2,1.511856079E-2,9.834848328E0,9.834901071E0
2.379250625E0,-2.305206299E-2,1.422042847E-2,9.835447083E0,9.835484377E0
2.389269625E0,-3.023712158E-2,1.481918335E-2,9.834399261E0,9.834456911E0
2.399288625E0,-2.664459229E-2,2.574645996E-2,9.829609222E0,9.829679053E0
2.409307625E0,-2.395019531E-2,1.960922241E-2,9.838291168E0,9.838339862E0
2.419326625E0,-2.709365845E-2,1.227447510E-2,9.842183075E0,9.842228021E0
2.429345625E0,-3.682342529E-2,2.155517578E-2,9.831405487E0,9.831498077E0
2.439364625E0,-2.829116821E-2,1.706451416E-2,9.825268250E0,9.825323799E0
2.449383625E0,-2.814147949E-2,2.589614868E-2,9.837093658E0,9.837167997E0
2.459402625E0,-2.260299683E-2,1.736389160E-2,9.834548950E0,9.834590253E0
2.469421625E0,-1.826202393E-2,1.826202393E-2,9.840536499E0,9.840570390E0
2.479440625E0,-2.799179077E-2,2.245330811E-2,9.829908600E0,9.829974098E0
2.489459625E0,-2.529739380E-2,2.499801636E-2,9.822723541E0,9.822787925E0
2.499478625E0,-2.424957275E-2,2.020797729E-2,9.830806732E0,9.830857410E0
2.509497625E0,-3.218307495E-2,2.604583740E-2,9.835447083E0,9.835534223E0
2.519516625E0,-3.397933960E-2,1.841171265E-2,9.836345215E0,9.836421136E0
2.529535625E0,-2.395019531E-2,1.841171265E-2,9.834099884E0,9.834146284E0
2.539554625E0,-3.143463135E-2,2.290237427E-2,9.838291168E0,9.838368044E0
2.549573625E0,-3.682342529E-2,2.604583740E-2,9.825268250E0,9.825371775E0
2.559592625E0,-2.754272461E-2,1.422042847E-2,9.835447083E0,9.835495927E0
2.569611625E0,-2.439926147E-2,1.871109009E-2,9.835147705E0,9.835195769E0
2.579630625E0,-2.395019531E-2,2.679428101E-2,9.837093658E0,9.837159305E0
